Archivo	Sheet	Columna	Nombre unificado	Acción
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Fecha_Afiliacion	Paciente_Fecha_Afiliacion	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Mes de afiliación	Mes de afiliación	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Año de afiliación	Año de afiliación	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Fecha de última cita	Fecha de última cita	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Mes de última cita	Mes de última cita	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Año de última cita	Año de última cita	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	# Paciente	ID_Paciente	Keep
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	CURP/RFC Paciente	CURP/RFC Paciente	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Número Interno	Número Interno	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Nombre Paciente	Paciente_Nombre	Keep
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Apellidos Paciente	Paciente_Apellidos	Keep
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Fecha de nac.	Fecha de nacimiento	Keep
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Teléfono	Teléfono	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Celular	Celular	Keep
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Ciudad	Ciudad	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Delegación	Delegación	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Dirección	Dirección	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	E-Mail	E-Mail	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Alertas	Alertas	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Referencia Paciente	Referencia Paciente	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Observaciones	Observaciones	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Sexo	Sexo	Keep
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Género	Género	Drop
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Tipo Paciente	Tipo Dentalink	Keep
Pacientes_Nuevos.xlsx	Pacientes_Nuevos	Convenio	Convenio Paciente	Drop
Acciones.xlsx	Acciones	Sucursal del tratamiento	Sucursal	Drop
Acciones.xlsx	Acciones	Sucursal realizada	Sucursal	Keep
Acciones.xlsx	Acciones	Id paciente	ID_Paciente	Keep
Acciones.xlsx	Acciones	Número Interno	Número Interno	Drop
Acciones.xlsx	Acciones	CURP/RFC Paciente	CURP/RFC Paciente	Drop
Acciones.xlsx	Acciones	Nombre paciente	Nombre paciente	Drop
Acciones.xlsx	Acciones	Apellidos paciente	Apellidos paciente	Drop
Acciones.xlsx	Acciones	Fecha de nac.	Fecha de nac.	Drop
Acciones.xlsx	Acciones	Sexo	Sexo	Drop
Acciones.xlsx	Acciones	E-Mail	E-Mail	Drop
Acciones.xlsx	Acciones	Convenio Paciente	Convenio Paciente	Drop
Acciones.xlsx	Acciones	Id. Categoria	ID_ Categoria	Drop
Acciones.xlsx	Acciones	Nombre Categoria	Nombre Categoria	Drop
Acciones.xlsx	Acciones	# Tratamiento	ID_Tratamiento	Keep
Acciones.xlsx	Acciones	Dueño Tratamiento	Dueño Tratamiento	Drop
Acciones.xlsx	Acciones	CURP/RFC Dentista Tratamiento	CURP/RFC Dentista Tratamiento	Drop
Acciones.xlsx	Acciones	Nombre Dentista Tratamiento	Nombre Dentista Tratamiento	Drop
